FileName,gh,rep,RPid,entry,genotype,DaysToAnthesis,Anthesis,FruitSetRipening,DaysToMaturity,DaysToHarvest,ht_1,ht1Age_days,ht_2,ht2Age_days,ht_harvest,Infl_L,Infl_W,Infl_Area,inflorescenceColor,inflorescenceShape,inflorescenceDensity,inflorescenceLeafiness,Moisture,Ash.14,Crude.Fat.14,Crude.Protein.14,Total.AA.14.mgG,Histidine.14.mgG,Isoleucine.14.mgG,Leucine.14.mgG,Lysine.14.mgG,SAA.14.mgG,AAA.14.mgG,Threonine.14.mgG,Tryptophan.14.mgG,Valine.14.mgG,Protein.14_Yield,Yield_g,TSW,totalSeeds,AvgArea_mm2,AvgEccentricity,TotalCount,sumRGB
1834B 1001,34B,1,34B_1,1,BO-55,48,12,12,72,86,44,35,60,41,118,22,9,198,13,3,3,3,7.236189166,2.55345207,3.749173627,14.10648278,837.2385635,27.72052316,39.89585726,60.72983643,55.5943655,36.44533724,64.19793386,32.50223895,9.767104264,45.44443909,1.231354882,8.729,2.869205298,3042.305828,2.53666281,0.375362129,604,359.6369708
1834B 1002,34B,1,34B_1,2,Moroccan Yellow,37,11,18,66,80,50,35,68,41,82,10,22,220,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.86,3.224347826,2437.702265,2.69146493,0.347171159,575,317.1444387
1834B 1003,34B,1,34B_1,3,Bouchane-3,37,13,16,66,80,42,35,57,41,84,21,17,357,3,3,3,3,7.67517687,2.546500393,4.207308212,15.4180081,815.2070492,27.53715725,38.77538698,58.87021388,53.27889244,37.24132245,64.12255918,30.96740842,9.854242743,44.27860304,1.430328611,9.277,2.634751773,3521.014805,2.671646834,0.390151379,564,401.4253317
1834B 1004,34B,1,34B_1,4,PI-614889,39,11,16,66,80,52,35,72,41,97,25,11,275,5,3,3,5,7.098504593,2.431986422,2.873558798,11.09195766,855.7088721,27.18760897,40.00260616,63.15834794,62.10307098,38.40498935,65.56329783,34.74222408,11.46065512,47.65415213,1.101098637,9.927,2.653516295,3741.073691,2.522394083,0.347805538,583,373.6098589
1834B 1005,34B,1,34B_1,5,ICBA-Q5,43,15,14,72,86,52,35,67,41,188,24,16,384,6,3,1,5,7.339696638,2.294570797,3.432463408,14.33423779,830.9415309,27.67424234,38.38624459,60.19654874,55.42972741,36.82387707,62.69310244,32.8570612,10.1956776,45.79441935,1.57576276,10.993,2.717228464,4045.666437,2.822064047,0.380821676,534,304.8374397
1834B 1006,34B,1,34B_1,6,PI-614927,46,12,14,72,86,45,35,70,41,117,24,5,120,15,3,5,3,7.075034971,2.796419306,4.015433707,13.82546635,811.0901068,26.6035155,38.62334981,58.02035093,56.54363895,36.11786218,61.56722458,31.47950949,10.20469221,43.29688151,1.5549502,11.247,3.56,3159.269663,3.398462936,0.364219822,450,404.8078852
1834B 1007,34B,1,34B_1,7,D-12225,62,10,39,111,126,38,35,48,41,138,38,10,380,13,1,3,1,7.192351135,3.009541964,4.22682667,14.71344844,851.655693,28.30609624,38.92814771,57.27620093,54.30898518,36.56986747,65.41360173,30.07924772,10.51171793,42.85414146,0.318693293,2.166,1.797175866,1205.224286,2.102972223,0.309527807,779,399.410007
1834B 1008,34B,1,34B_1,8,PI-665276,37,13,16,66,80,45,35,67,41,136,53,8,424,13,1,1,5,7.399410255,2.702200868,4.324429785,15.08744566,838.3523395,30.02814074,41.56085784,63.07653897,54.19110876,29.391109,65.61041829,32.86808202,9.37392294,46.86014945,0.462581084,3.066,1.057803468,2898.459016,1.323826262,0.396665213,173,271.8110875
1834B 1009,34B,1,34B_1,9,CHEN-298,48,20,33,101,116,52,35,75,41,163,35,8,280,13,3,3,1,7.50351328,2.622331307,3.88914377,15.60974528,811.4121084,27.43110753,38.01621833,58.43564019,52.74364663,35.58228757,62.42888754,30.71766831,9.883974795,44.04277892,0.618770303,3.964,2.885860307,1373.593861,2.836767635,0.332863331,587,350.5500097
1834B 1010,34B,1,34B_1,10,D-12196,NA,NA,47,111,125,36,35,52,41,160,42,9,378,13,3,3,1,7.675626133,2.53110974,4.729774865,14.08678366,816.1125376,27.12934872,38.87989233,59.79791692,51.64746028,38.06313409,66.90772364,31.05783711,9.772645057,45.46290158,0.778999136,5.53,1.587837838,3482.723404,1.965679412,0.301003097,1036,441.5653138
1834B 1011,34B,1,34B_1,11,D-11980,48,16,28,92,106,47,35,63,41,155,42,8,336,13,3,3,5,7.642324405,2.63787054,3.777439014,14.53542278,815.806302,27.32634807,39.01497457,61.74895556,54.5191714,37.87980812,64.95644946,31.06490624,9.620130121,44.94630612,0.839129957,5.773,3.210831721,1797.976506,3.080723059,0.309957048,517,411.0137432
1834B 1012,34B,1,34B_1,12,CHEN-465,46,16,30,92,107,47,35,65,41,144,36,7,252,13,3,3,3,7.561512731,2.118100966,3.342711644,12.90559166,835.3705566,27.35270114,40.46469367,62.92579795,52.95431374,37.84758958,63.96322823,31.83543039,9.037788552,47.41739156,0.874482891,6.776,1.887700535,3589.552408,1.881611248,0.258447409,374,281.5380195
1834B 1013,34B,1,34B_1,13,D-12243,51,13,28,92,107,44,35,60,41,153,46,9,414,13,1,3,1,7.58604431,2.584166988,4.015559447,13.49795294,823.079649,27.0809001,38.75931148,61.52464954,52.67192524,38.31490844,66.33727637,30.97315751,9.690791648,45.80982606,0.744547084,5.516,1.462244898,3772.281926,1.743989728,0.314255973,980,434.0266383
1834B 1014,34B,1,34B_1,14,CHEN-349,57,15,55,127,141,48,35,65,41,201,48,10,480,13,1,3,1,7.489868797,2.975003865,4.539836072,14.56791087,852.7165116,27.85684383,39.22145791,58.4921639,53.20016587,38.08427666,67.71035445,29.95438713,10.23380044,43.18305403,0.287424881,1.973,2.252525253,875.9058296,2.306222986,0.361268864,594,431.9415479
1834B 1015,34B,1,34B_1,15,CHEN-420,59,15,53,127,141,37,35,51,41,140,30,10,300,13,1,3,1,7.244786377,2.638170692,3.900456874,11.38691148,889.2107991,27.50924245,39.03603957,59.02535167,52.28330708,39.80086227,69.40308031,31.60934887,10.52401266,43.71502688,0.190161422,1.67,1.822704082,916.2211337,2.122189862,0.343979827,784,428.5816868
1834B 1016,34B,1,34B_1,16,Baer-II,41,21,10,72,86,43,35,61,41,119,22,10,220,3,3,3,3,7.170433237,2.534315161,3.997236936,14.35559067,845.6806907,28.12215096,38.52112976,60.13929679,54.29900251,34.48285425,62.36831535,32.86820308,9.541505301,44.77631821,1.005609126,7.005,1.917900404,3652.431579,2.023510312,0.402625601,743,340.5419335
