"","Yield_g","TSW","Lysine.14.mgG"
"1",8.729,2.869205298,55.5943655
"2",7.86,3.224347826,55.47750542
"3",9.277,2.634751773,53.27889244
"4",9.927,2.653516295,62.10307098
"5",10.993,2.717228464,55.42972741
"6",11.247,3.56,56.54363895
"7",2.166,1.797175866,54.30898518
"8",3.066,1.057803468,54.19110876
"9",3.964,2.885860307,52.74364663
"10",5.53,1.587837838,51.64746028
"11",5.773,3.210831721,54.5191714
"12",6.776,1.887700535,52.95431374
"13",5.516,1.462244898,52.67192524
"14",1.973,2.252525253,53.20016587
"15",1.67,1.822704082,52.28330708
"16",7.005,1.917900404,54.29900251
"17",5.507,2.858223062,56.49151387
"18",9,3.398584906,54.99404306
"19",10.39,2.669642857,56.66161896
"20",3.103,1.214960058,51.96054481
"21",6.807,2.963039014,53.11740019
"22",4.666,1.480842912,51.52768685
"23",4.935,1.83490566,51.15452421
"24",4.018,2.304221252,50.99064774
"25",5.384,2.265943012,51.10907527
"26",8.256,2.868739206,58.65204168
"27",10.125,2.010204082,53.26522472
"28",3.714,1.395740905,56.4235168
"29",6.455,1.997264022,53.63285167
"30",6.981,2.808383234,57.57897672
"31",9.423,2.915289256,54.67431395
"32",7.166,2.871268657,61.52565552
"33",3.262,2.815789474,56.0911507
"34",6.163,4.251533742,54.7249012
"35",5.786,2.170512821,59.33973353
"36",9.336,2.906716418,52.65582098
"37",2.073,2.778008299,54.54381021
"38",6.515,2.833992095,54.7222757
"39",8.931,2.524163569,56.62207777
"40",7.016,3.42920354,57.52549731
"41",6.988,3.015384615,56.05979272
"42",9.852,3.072033898,58.16418394
"43",11.907,3.572052402,58.80006287
"44",8.01,3.895480226,55.86169163
"45",6.198,3.371257485,57.20316209
"46",10.941,3.182608696,58.64297229
"47",7.064,2.973140496,56.97770796
"48",9.083,3.07,59.35272989
"49",7.832,4.086419753,56.24669902
"50",6.268,1.857308585,51.19257433
"51",5.378,2.685499058,52.44217316
"52",3.259,1.815853659,53.31860562
"53",6.771,3.227876106,55.82917014
"54",6.885,2.880503145,55.21887102
"55",6.912,3.22489083,58.33658187
"56",3.497,2.784883721,54.21568199
"57",6.705,2.528938907,50.89189864
"58",1.678,3.023012552,57.31747556
"59",7.073,3.908554572,55.41570606
"60",8.248,3.061702128,56.38175034
"61",7.022,2.850860421,56.9702171
"62",5.006,1.990861619,59.49763086
"63",12.314,3.832917706,57.27269863
"64",11.736,1.925028835,52.90283573
"65",10.148,2.741811175,52.86470881
"66",7.117,2.882129278,59.08203538
"67",6.275,2.667838313,55.59908811
"68",9.81,2.460526316,54.03745413
"69",3.309,2.03080308,52.01987923
"70",7.137,2.046997389,53.90813191
"71",4.535,1.429397192,51.78509123
"72",5.803,2.007672634,55.29459914
"73",6.759,2.480902778,56.68661721
"74",5.175,2.149090909,54.99084563
"75",4.413,2.728896104,52.29335673
"76",5.986,2.538230885,55.2393876
"77",2.471,1.454,50.98831191
"78",5.597,1.702898551,52.76838242
"79",4.27,3.281862745,54.00631543
"80",3.785,1.871670702,54.10931853
"81",6.482,1.153127247,58.14787949
"82",6.146,2.9778157,54.59330416
"83",10.1,3.114545455,57.79212665
"84",6.377,2.183486239,55.8154979
"85",3.721,2.166666667,53.30833432
"86",7.548,3.246808511,59.81702749
"87",10.789,3.260180995,57.20452758
"88",1.166,2.534782609,58.20950055
"89",6.371,2.380758808,58.72782525
"90",9.186,2.404347826,59.07270896
"91",8.387,2.619932432,54.21051835
"92",4.124,2.635514019,56.2565704
"93",2.645,3.311111111,56.20348255
